 ;;Record No.;Descripcion Articulo;UM;Fabricante;Cod. IVA;Impuesto IVA;Clase;Categoria;Control de Lote;Costeable;En Stock;Acuerdo;Status;Elaborado por;Fecha de creacion
;false;Z419111-0114;Sub. Arena de Nivelación para Andenes;M3;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0113;Sub. Geomalla en Fibra de Vidrio R100;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0112;Sub. Geotextil NT 2500;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;OBRAS DE URBANISMO;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0111;Sub. Nivelacion y Compactación de Subrasante;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0110;Sub. Gavion Caja 2x1x1 CD/Malla Tipo /x10/2 mm/ Zinc + PVC;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0109;Sub. Loseta Guia Tipo A-55 - Incluye 4.0cms de Arena y Sello de Juntas;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0108;Sub. Loseta Guia Tipo A-56 - Incluye 4.0cms de Arena y Sello de Juntas;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0107;Sub. Semaforo en Policarbonato S1;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0106;Sub. Fresado de Asfalto;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0105;Sub. Atraque en recebo;M3;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
